Įmonės pavadinimas,Subtitras,Adresas,Veiklos sritis,Aprašymas,Kontaktinė informacija
"Enviresta
","
","Erfurto g. 46-25, LT-04102 Vilnius.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; inžineriniai tinklai ir sistemos; kelių tiesimas, remontas, tiltai; statyba.
","
UAB ""ENVIRESTA"" - statybos ir kelio darbų srities specialistų komanda. Pagrindinės veiklos - kelių, aikštelių ir pėsčiųjų takų įrengimas, aplinkos tvarkymo darbai, požeminės komunikacijos.
",https://rekvizitai.vz.lt/imone/enviresta/
"Garliavos medelynas
","
","Sodų g. 99, Jonučiai, LT-53317 Kauno r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas.
","
Medelynas, dekoratyviniai augalai, apželdinimas, apželdinimo projektai. „Garliavos medelynas“ įkurtas 2007 metais, vadovaujantis Europos medelynų standartais. Medelyne diegiame naujausias augalų priežiūros bei auginimo priemones, įrangą. Kadangi pirkėjų patogumui dekoratyviniai augalai auginami vazonėliuose, mūsų...
",https://rekvizitai.vz.lt/imone/garliavos_medelynas/
"Grentus
","
","Paliūniškio g. 5 K2, LT-35113 Panevėžys.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; kita veikla; statybos technika, įranga, nuoma; žemės ūkis, paslaugos.
","
Esame vieninteliai CASTLOADERS krautuvų ir FERRARI kompaktinių traktorių atstovai Lietuvoje. Atstovaujame didžiausią Europoje kelmų frezų gamintoją - FSI power-tech. Prekiaujame NEGRI šakų – medienos smulkintuvais. Siūlome TUCHEL ūkio priežiūros mašinas. Aplinkos tvarkymo, statybinė technika (nuoma, prekyba):...
",https://rekvizitai.vz.lt/imone/grentus/
"Kalstata
","
","Statybininkų g. 4, LT-68108 Marijampolė.","
Veiklos sritys: statyba; apželdinimas ir aplinkos tvarkymas; inžineriniai tinklai ir sistemos.
","
- Statybos projektų valdymo paslaugos: projektų ruošimas ir derinimas, vykdymas, administravimas, priežiūra. - Įvairios paskirties pastatų statybos ir/arba remonto darbai (gyvenamieji ir negyvenamieji pastatai, kultūros paveldo objektai): pamatų bei pastatų konstrukcijų montavimas; betono, mūro, monolito...
",https://rekvizitai.vz.lt/imone/uab_kalstata/
"Kėdainių akmenukas
","
VISOS KAPO ĮRENGIMO IR PRIEŽIŪROS PASLAUGOS
","Sodų g. 2, Sirutiškio k., LT-57120 Kėdainių r.","
Veiklos sritys: paminklai, antkapiai; akmens gaminiai; apželdinimas ir aplinkos tvarkymas; gamyba.
","
MB „Akmenukas“ specializuojasi paminklų iš akmens projektavimo, gamybos ir montavimo bei kapų priežiūros ir jų apželdinimo srityje beveik 20 metų. Mūsų vizija– tapti aukščiausios klasės kapinių tvarkymo ir priežiūros paslaugų tiekėju Lietuvoje ir sudaryti tokias kapų priežiūros paslaugų tiekimo sąlygas ir kainas...
",https://rekvizitai.vz.lt/imone/kedainiu_akmenukas/
"Koi tvenkiniai ir kriokliai
","
","Šakėnų k. 12, Šakėnai, LT-96292 Klaipėdos r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; mažmeninė prekyba; statyba; žuvininkystė, žuvies produktai.
","
Mūsų teikiamos paslaugos: Dekoratyvinių sodo tvenkinių ir jų apželdinimo projektavimas, rekonstrukcija, įrengimas; Dekoratyvinių krioklių, fontanų projektavimas, rekonstrukcija ir įrengimas; Dekoratyvinių sodo tvenkinių, krioklių, fontanų valymas bei priežiūra; Konsultuojame: Dekoratyvinių tvenkinių, krioklių...
",https://rekvizitai.vz.lt/imone/koi_tvenkiniai_ir_kriokliai/
"Pasifloras
","
","Virginijaus Druskio g. 1-186, LT-04307 Vilnius.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; perkraustymas; švaros, valymo paslaugos; transporto paslaugos.
","
Teikiame perkraustymo, smulkių ir negabaritinių krovinių gabenimo paslaugas visoje Lietuvoje. Paslaugas teikiame fiziniams asmenis ir įmonėms. Esant poreikiui, išrašome sąskaitą-faktūrą. Iš anksto susitarus, dirbame ir savaitgaliais. Teikiamos paslaugos: kraštovaizdžio tvarkymas; krovininis kelių transportas ir...
",https://rekvizitai.vz.lt/imone/pasifloras/
"S&T lauko darbai
","
Kasimo ir gręžimo darbai bei technikos nuoma
","Kazio Ulvydo g. 5, LT-08354 Vilnius.","
Veiklos sritys: statybos technika, įranga, nuoma; apželdinimas ir aplinkos tvarkymas; griovimas, gręžimas; hidraulika, pneumatika; inžineriniai tinklai ir sistemos; įrankiai; kita veikla; kompresoriai, siurbliai; komunalinė technika; krautuvai, keltuvai, liftai; melioracija, melioracijos technika; miško, sodo, vejos technika; statyba; statybinės medžiagos; transporto paslaugos; vamzdynai, vandentiekis, nuotekų valymas.
","
S&T lauko darbai, MB - Sklypų paruošimas statyboms, pamatų įrengimo darbai, griovimo darbai. Kasimo darbai, drenažo, kanalizacijos, vandentiekio, šulinių kasimas. Trinkelių klojimas, vejos įrengimas, laikinų kelių statyba, prūdų, tvenkinių kasimas ir valymas. Transporto paslaugos bei technikos nuoma atliekamiems...
",https://rekvizitai.vz.lt/imone/s_t_lauko_darbai/
"Želda
","
Želda.lt
","Vytėnų g. 94, LT-47486 Kaunas.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; daržininkystė, sodininkystė; gėlės ir dekoratyviniai augalai; inžineriniai tinklai ir sistemos.
","
UAB “Aplinkos paslaugos” jau daugiau nei 10 metų patirties apželdinimo srityje turinti komanda, kuri kiekvienais metais išsikelia naujus tikslus tam, kad tobulėtų. Idėjos, išskirtinumas ir inovacijos yra tai, ko mes siekiame kiekviename savo įgyvendintame projekte. Pasirūpinsime Jūsų aplinka nuo pat reljefo...
",https://rekvizitai.vz.lt/imone/aplinkos_paslaugos/
"Daveikla, UAB - Gėlių salonas
","
","Lvivo g. 13A, Vilnius.","
Veiklos sritys: gėlės ir dekoratyviniai augalai; apželdinimas ir aplinkos tvarkymas; dovanos; renginių organizavimas.
","
Gėlių salonai : Didžioji Riešė, Molėtų g. 4A / Pučkalaukis, Pamiškės g. 1 (prie Nemnčinės) FLORISTIKOS PASLAUGOS-skintos ir vazoninės gėlės, puokštės įvairiomis progomis, gėlių dežutės,kompozicijos su vaisiais,saldainiais,butelių floristinis dekoras, dovanų įpakavimas, atvirukai, suvenyrai. GEDULO FLORISTIKA :...
",https://rekvizitai.vz.lt/imone/daveikla_geliu_salonas/
"Frezijų Puokštė
","
Sodo centras ""Frezija""
","Sodų g. 7A, Girkalių k., LT-92372 Klaipėdos r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; daržininkystė, sodininkystė; gėlės ir dekoratyviniai augalai; trąšos.
","
Sodo reikmenys, augalai, natūralus akmuo, skalda, keramikiniai ir plastmasiniai lauko ir vidaus vazonai, trąšos, sėklos, durpių substratai, automatinės laistymo sistemos, šiltnamiai, vaikų žaidimo aikštelės, supynės, stoginės, lauko baldai. Didmeninė ir mažmeninė prekyba. Želdynų projektavimas, įrengimas...
",https://rekvizitai.vz.lt/imone/frezija_sodo_centras_freziju_puokste/
"JK Agro
","
","Stoties g. 53C, Vievis, LT-21370 Elektrėnai.","
Veiklos sritys: atliekų tvarkymas; apželdinimas ir aplinkos tvarkymas; griovimas, gręžimas; naudingosios iškasenos.
","
UAB “JK Agro” – patikimų profesionalų įmonė. Mūsų specializacija: statybinės technikos pardavimas,nuoma, medžiagų pardavimas bei atvežimas. Galime pasiūlyti viską, kas būtų naudinga statybų metu. Pradedant savivarčių ar technikos nuoma, baigiant dolomito ar betono skalda. Technikos Pardavimas Statybine Technika...
",https://rekvizitai.vz.lt/imone/jk_agro/
"Kontervita
","
","Gaižuvėlės aklg. 1-2, LT-47222 Kaunas.","
Veiklos sritys: atliekų tvarkymas; apželdinimas ir aplinkos tvarkymas; gamtos apsauga; transporto paslaugos.
","
Svarbu žinoti, kad pirkdami ir užsakydami mūsų prekes ar paslaugas, remiate ir prisidedate prie miškų išsaugojimo. Daugiau informacijos čia: www.sengiresfondas.lt Fondo, miško ir mūsų vardu tariame DIDELĮ - DĖKUI! KONTERVITA - UŽ ŠVARESNĘ APLINKĄ! Atliekų surinkimo tarnyba „Kontervita“ ♻️ Įmonė koncentruojasi į...
",https://rekvizitai.vz.lt/imone/kontervita/
"Krūmas
","
Apleistų žemių tvarkymas, kelmų frezavimas
","Upelio g. 4-36, LT-19114 Širvintos.","
Veiklos sritys: miškininkystė; apželdinimas ir aplinkos tvarkymas; malkos, kuras šildymui; mediena, jos gaminiai.
","
UAB ""Krūmas"" pagrindinė veikla – apleistų žemės sklypų tvarkymas, krūmų kirtimas,biokuro gamyba. Mūsų įmonė atlieka savaiminio ataugimo medelių ir krūmynų išpjovimo, išvežimo ir kelmų frezavimo paslaugą.Apleistų žemės sklypų tvarkymo srityje dirbame nuo 2017 metų. Sukaupta patirtis užtikrins, kad darbus atliksime...
",https://rekvizitai.vz.lt/imone/krumas/
"Log Forest
","
MIŠKO SUPIRKIMAS VISOJE LIETUVOJE, PRODUKCIJA
","Pramonės g. 4, LT-65206 Varėna.","
Veiklos sritys: miškininkystė; apželdinimas ir aplinkos tvarkymas; didmeninė prekyba; konsultacijų paslaugos; malkos, kuras šildymui; mediena, jos gaminiai; statybinės medžiagos.
","
UAB „Log Forest“ - tai ambicinga ir patikima, daugiau nei 10 metų veikianti įmonė. UAB „Log Forest“ buveinė yra Varėnoje, tačiau sėkmingai veiklą vykdome visoje Lietuvoje. Mūsų darbuotojai turi daug patirties tiek miškininkystės srityje, tiek medienos gamyboje bei prekyboje. Per metus nukertame ir realizuojame apie...
",https://rekvizitai.vz.lt/imone/uab_log_forest/
"Monumentas
","
","Rygos g. 13, LT-05257 Vilnius.","
Veiklos sritys: paminklai, antkapiai; akmens gaminiai; apželdinimas ir aplinkos tvarkymas.
","
Monumentas.lt komanda - projektuoja ir įrenginėja kapavietes visoje Lietuvoje. Galime pasiūlyti platų gaminių katalogą: paminklus, antkapius, granito plokštes ir kapų aksesuarus, raidžių ir portretų kalimą. Naudojame modernią 3D projektavimo technologiją, kurios dėka galite pamatyti kapavietės vizualizaciją ir ją...
",https://rekvizitai.vz.lt/imone/monumentasmb/
"Parko baldai
","
","Žirmūnų g. 139, LT-09120 Vilnius.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; baldai (prekyba); betonas ir betono gaminiai; vaikų prekės.
","
UAB „PARKO BALDAI“ - TAI KOKYBĖ, PATIKIMUMAS IR NORAS GERAI DIRBTI. Įmonė įkurta 2022 metais. Joje dirbantys specialistai yra sukaupę ilgametę patirtį mažosios architektūros, vaikų žaidimų aikštelių ir lauko treniruoklių įrengimo srityse. Mūsų tikslas - tapti gerai žinomu prekės ženklu, kurio sinonimai būtų Kokybė...
",https://rekvizitai.vz.lt/imone/parko_baldai/
"RENOVAS
","
","Manikūnų g. 68, Manikūnų k., LT-39403 Pasvalio r.","
Veiklos sritys: žemės ūkio technika; apželdinimas ir aplinkos tvarkymas; kelių tiesimas, remontas, tiltai.
","
UAB „Renovas“ vykdo kraštovaizdžio tvarkymo, kelių tiesimo, trinkelių klojimo veiklą, kuri orentuota į klientų poreikius ir kokybiškas paslaugas. Technikos ir transporto nuoma; https://www.renovas.lt/technikos-ir-transporto-nuoma Greideris su 2D/3D ir ultragarso valdymo sistemomis;...
",https://rekvizitai.vz.lt/imone/renovas/
"RM EKSPERTAI
","
Pajūrio laistymas
","Baltrušaičių g. 12, Gindulių k., LT-91295 Klaipėdos r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; mažmeninė prekyba; santechnika; šviesos sistemos, šviestuvai.
","
Projektuojame, komplektuojame, parduodame, pristatome, montuojame laistymo ir lauko apšvietimo sistemas. Darbus atliekame greitai, kokybiškai ir suteikiame garantiją. Nuomojame tranšėjų kasimo mašiną, tranšerį. Nuomos kaina 150 €/diena PREKĖS ŽENKLAI: Hunter - laistymo sistemos; FX Luminaire, Lightpro -...
",https://rekvizitai.vz.lt/imone/rm_ekspertai/
"Servico
","
Pastatų administravimas ir priežiūra | Inžinerinių tinklų ir sistemų priežiūra
","Naugarduko g. 98, LT-03160 Vilnius.","
Veiklos sritys: pastatų administravimas; apželdinimas ir aplinkos tvarkymas; atliekų tvarkymas; durys, raktai, spynos.
","
""Servico"" – ilgametę patirtį sukaupusių profesionalų komanda, teikianti kompleksines pastatų administravimo ir priežiūros paslaugas. Atitikimas reikalavimams tikrinamas vidaus ir nepriklausomų išorės auditų metu. Gauti rezultatai naudojami vadybos vertinamosios analizės procese, priimant svarbius, su įmonės veikla...
",https://rekvizitai.vz.lt/imone/servico/
"Smarkus
","
","Veiverių g. 9B-62, LT-11346 Vilnius.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; komunalinė technika; komunalinės paslaugos; miško, sodo, vejos technika.
","
KELMŲ ŠALINIMAS FREZAVIMO BŪDU VILNIUJE IR UŽ VILNIAUS ! Mūsų naudojama technika efektyvi - pvz.1m skersmens kelmas su šaknimis susmulkinamas per 30 min., kompaktiška - įranga įvažiuoja pro 1m pločio vartelius, pasiekiamas atokiausias kelmas, lengva - važiuojant ir dirbant prie kelmo negadinama išpuoselėta veja...
",https://rekvizitai.vz.lt/imone/smarkus/
"SODO
","
esodo.lt
","G. D. Kuverto g. 15D-36, LT-93127 Neringa.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; projektavimas.
","
Kviečiame užsukti į sodo saloną Jonavos 92, Kaune Laistymo sistemos Kaune. Projektavimas, montavimas, apmokymai kaip įsirengti laistymo sistemą pačiam. Purkštukai vejai, šiltnamio laistymo sistema be siurblio, kapiliarai šilauogėms, braškėms, avietėms ir pan. Vokiškos laistymo žarnos, žalvarinės jungtys, laistymo...
",https://rekvizitai.vz.lt/imone/uab_sodo/
"Šilėja
","
Pastatų administravimas
","Ukmergės g. 222, LT-07157 Vilnius.","
Veiklos sritys: pastatų administravimas; apželdinimas ir aplinkos tvarkymas; durys, raktai, spynos; elektros instaliacijos darbai; komunalinės paslaugos; langai; santechnika; šiltinimas, renovacija; švaros, valymo paslaugos; transporto paslaugos; vamzdynai, vandentiekis, nuotekų valymas.
","
ŠILĖJA, UAB PASLAUGOS Pastatų administravimas Pastatų techninė priežiūra Pastatų šilumos ūkio priežiūra Pastatų dujų ūkio priežiūra Pastatų termoviziniai tyrimai Patalpų valymo paslaugos Paslaugos bendrijoms Bendrijų administravimas Plastikinių langų bei durų gamyba ir montavimas Meistras į namus Statybos remonto...
",https://rekvizitai.vz.lt/imone/sileja/
"Želmanta
","
","Ventos Kranto g. 2, Krucių k., LT-89327 Mažeikių r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; daržininkystė, sodininkystė; gėlės ir dekoratyviniai augalai; vartai, tvoros.
","
Įmonės aprašymas : Gražus kiemas ir aplinka - gerų emocijų šaltinis, sąlytis su gamta. Uab ŽELMANTA TOBULĖJANTI IR AUGANTI ĮMONĖ, atsižvelgdami į kliento galimybes, poreikius bei pageidavimus, dirbdami galime pasiūlyti atliekamu darbų geriausius sprendimus. Kiekvienais metais stengiamės tobulėti ir gerinti savo...
",https://rekvizitai.vz.lt/imone/zelmanta/
"Agrodetalės
","
","Panevėžio g. 40-36, LT-02183 Vilnius.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; didmeninė prekyba; mažmeninė prekyba; žemės ūkio technika.
","
""AGRODETALĖS"" kolektyvas vienija virš 10-ties metų patirtį rinkoje dirbančių specialistų būrį. UAB AGRODETALĖS yra oficialus atstovai SaMASZ, UNIA agrotechnikos. Pagrindinė veikla : žemės ūkio technikos atsarginių detalių pardavimas. Didmeninė ir mažmeninė prekyba. Rinkai tiekiame gerai save užsirekomendavusių...
",https://rekvizitai.vz.lt/imone/agrodetales/
"Armeka
","
Patalpų valymas / Specialieji valymo darbai
","Neries krant. 5, LT-48344 Kaunas.","
Veiklos sritys: švaros, valymo paslaugos; apželdinimas ir aplinkos tvarkymas; aukštalipių paslaugos; pastatų administravimas.
","
Pasirūpinkite švaria bei saugia darbine aplinka ! Atliekame įvairios paskirties patalpų DEZINFEKCIJĄ, DEZINSEKCIJĄ, DERATIZACIJĄ. Visuomenės sveikatos priežiūros veiklos licencija Nr. VSL-780 Armeka UAB yra sparčiai besiplečianti valymo paslaugų įmonė. Savo Klientams siūlanti kokybiškas ir profesionalias plataus...
",https://rekvizitai.vz.lt/imone/armeka/
"Aukeda
","
Statybos ir remonto darbai
","Varduvos g. 63, LT-89142 Mažeikiai.","
Veiklos sritys: statyba; apželdinimas ir aplinkos tvarkymas; betonas ir betono gaminiai; fasadas, fasado apdaila; inžineriniai tinklai ir sistemos; sienos, lubos; šiltinimas, renovacija; statybos technika, įranga, nuoma; stogų dangos, paslaugos; vamzdynai, vandentiekis, nuotekų valymas.
","
UAB „Aukeda“ savo veiklą pradėjo 2015 metais. Įmonė yra atestuota VĮ Statybos produkcijos sertifikavimo centre, įsikursi Varduvos g. 63, Mažeikiuose. UAB „Aukeda“ įdiegta integruotas kokybės ir aplinkos apsaugos vadybos sistemos, darbuotojų saugos ir sveikatos vadybos sistema pagal LST EN ISO 9001:2015 Atitikties...
",https://rekvizitai.vz.lt/imone/aukeda/
"Conora
","
","Jonavos g. 14, Bukonių k., LT-55415 Jonavos r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; aukštalipių paslaugos; miškininkystė.
","
Miško želdinimas. Želdinių priežiūra. Šienavimo paslaugos miesto ir privačiose valdose, elektros pastočių, pakelių ir stačių šlaitų bei piliakalnių šienavimas. Sasnovskio barščių naikinimas. Medžių pjovimas gyventojų prašymu, kapinėse, sunkiai prieinamose vietose. Pramoninio alpinizmo darbai. Medienos smulkintuvų...
",https://rekvizitai.vz.lt/imone/conora/
"Erdvilė
","
","Pranciškonių 4-oji g. 11, Pranciškonių vs., LT-15150 Vilniaus r.","
Veiklos sritys: žemės ūkis, paslaugos; apželdinimas ir aplinkos tvarkymas; gėlės ir dekoratyviniai augalai.
","
Geriausi savo srities specialistai, turintys daugiau nei 3 metų patirtį, kuriant ryšius tarpktūros, gamtos ir žmogaus. Įgyvendindami landšafto architektūros ir apželdinimo sprendimus visuomet siekiame, kad mūsų formuojamos erdvės būtų išvystytos harmoningos ir natūralios gamtos oazės. Kurdami aplinkas siekiame ne...
",https://rekvizitai.vz.lt/imone/erdvile/
"Generalinis valymas
","
Gv
","Šeškinės g. 28, LT-07156 Vilnius.","
Veiklos sritys: švaros, valymo paslaugos; apželdinimas ir aplinkos tvarkymas.
","
UAB ""Generalinis Valymas"" profesionaliai atlieka šias paslaugas: Fasadinių langų plovimą; Stiklinių pertvarų plovimą; Fasadų plovimą naudojant aukšto slėgio aparatus ir kėlimo įrangą; Kiliminės dangos plovimą, blogo kvapo ir dėmių šalinimą; Įvairių dangų padengimą apsauginę priemone : PVC ir Linoleumo padengimas...
",https://rekvizitai.vz.lt/imone/generalinis_valymas/
"Girmedis
","
Miško pirkimas visoje Lietuvoje!
","Džiugo g. 2A, Buožėnų k., LT-88437 Telšių r.","
Veiklos sritys: miškininkystė; apželdinimas ir aplinkos tvarkymas; eksportas; malkos, kuras šildymui; mediena, jos gaminiai.
","
UAB Girmedis pradėjo veiklą nuo 2007 metų ir atlieka šias paslaugas: miško pirkimas visoje Lietuvoje (Vilniuje, Kaune, Šiauliuose, Plungėje, Kretingoje, Klaipėdoje, Mažeikiuose, Telšiuose, Skuode, Šilalėje, Šilutėje), apvalios medienos prekyba, medienos pervežimo paslaugos miškovežiu , miško su žeme pirkimas, miško...
",https://rekvizitai.vz.lt/imone/girmedis/
"Horticom
","
","Žirmūnų g. 66, LT-09131 Vilnius.","
Veiklos sritys: žemės ūkio technika; apželdinimas ir aplinkos tvarkymas; gėlės ir dekoratyviniai augalai; trąšos.
","
Gėlių daigai, sodmenys, svogūnai. Gėlių, daržovių, vejos sėklos. Trąšos gėlėms, daržovėms, vejai, dekoratyviniams augalams. Durpių, kokoso, akmens vatos substratai. Šaknydinimo milteliai, biostimuliatoriai. Vazonai, balkono loviai, lauko vazonai. Patiesalas, agrodanga. Pramoniniai šiltnamiai, stelažai, laistymo...
",https://rekvizitai.vz.lt/imone/horticom/
"Kauno Perdanga
","
","Technikos g. 2, LT-51212 Kaunas.","
Veiklos sritys: betonas ir betono gaminiai; akmens gaminiai; apželdinimas ir aplinkos tvarkymas; didmeninė prekyba; mažmeninė prekyba; statybinės medžiagos.
","
Grindinio trinkelės
Šulinio žiedai Kiaurymėtosios įtemptojo gelžbetonio plokštės Plastikiniai bortai ir vejos korys Borteliai Šaligatvio plytelės Šviečinčios trinkelės Tvoros elementai ir latakai
",https://rekvizitai.vz.lt/imone/uab_kauno_perdanga/
"Kauno statyba
","
","Naujakurių g. 78-25, LT-47131 Kaunas.","
Veiklos sritys: kelių tiesimas, remontas, tiltai; apželdinimas ir aplinkos tvarkymas; nekilnojamasis turtas; statyba.
","
UAB ""KAUNO STATYBA"" – atestuota, sėkmingai Lietuvoje veikianti kelių (gatvių) tiesimo bendrovė, Atestato Nr. 8563 UAB ""KAUNO STATYBA"" tikslas - lyderiaujanti kelių ir gatvių įrengimo bendrovė Lietuvoje. Nuolatos gerinant atliekamų darbų kokybę, klientams siūlant efektyvius ir pažangius statybos sprendimus. ĮMONĖS...
",https://rekvizitai.vz.lt/imone/kauno_statyba/
"Keldarista
","
GATVIŲ IR KELIŲ TIESIMAS, REMONTAS
","S. Konarskio g. 22-4, LT-03124 Vilnius.","
Veiklos sritys: kelių tiesimas, remontas, tiltai; apželdinimas ir aplinkos tvarkymas; inžineriniai tinklai ir sistemos; komunalinės paslaugos; statyba; statybos technika, įranga, nuoma.
","
GATVIŲ IR KELIŲ TIESIMAS, REMONTAS Kelių tiesimas Asfaltavimo darbai Asfaltbetonio dangos klojimas Asfaltbetonio dangos duobių remontas Iškiliųjų pėsčiųjų perėjų įrengimas Kelio nuovažų įrengimas Sporto aikštynų įrengimas Žvyro dangos kelių įrengimas Grindinių įrengimas (betono, klinkerio, bazalto, granito)...
",https://rekvizitai.vz.lt/imone/keldarista/
"Kitokia diena
","
","Jūrininkų pr. 12-80, LT-95231 Klaipėda.","
Veiklos sritys: švaros, valymo paslaugos; apželdinimas ir aplinkos tvarkymas; atliekų tvarkymas; higienos reikmenys.
","
Kitokia diena, UAB – įmonė, teikianti kasdieninio, periodinio ir poremontinio valymo paslaugas įmonėms, privatiems klientams bei valstybinėms organizacijoms. Esame veržli, kokybiškai atliekanti paslaugas įmonė. Naudojame priemones, skirtas profesionaliam valymui, aptarnauti tiek mažus, tiek didelius ir reiklius...
",https://rekvizitai.vz.lt/imone/kitokia_diena/
"MDV paslaugos
","
MDV PASLAUGOS
","Lenkviečių g. 15, Mazūriškiai, LT-92377 Klaipėdos r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; atliekų tvarkymas; aukštalipių paslaugos; trąšos.
","
Įmonės aprašymas: MDV Paslaugos - Jūsų aplinkos priežiūros specialistai! Atliekame įvairius aplinkos priežiūros darbus tiek komerciniuose, tiek privačiuose objektuose. Tiekiame aplinkos priežiūros prekes, žiemos mišinius, galime pasiūlyti apželdinimo paslaugą, bendradarbiaujame su sertifikuotais specialistais...
",https://rekvizitai.vz.lt/imone/mdv_paslaugos/
"Radvydė
","
","Artojo g. 3, LT-92105 Klaipėda.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; buities paslaugos; komunalinės paslaugos; švaros, valymo paslaugos.
","
UAB ""RADVYDĖ "" įsteigta 1993 m. 11 mėn.. Pagrindinė įmonės veiklos sritis - profesionalaus valymo paslaugos: kasdieninė įvairios paskirties vidaus patalpų priežiūra, kiliminių dangų, minkštų baldų valymas sausu ir drėgnu būdu, langų, stiklinių vitrinų, stiklo pertvarų valymas, marmuro, PVC , linoleumo, parketo...
",https://rekvizitai.vz.lt/imone/radvyde/
"Rekreacinė statyba
","
","Žirnių g. 12, LT-02120 Vilnius.","
Veiklos sritys: statyba; apželdinimas ir aplinkos tvarkymas; architektai; inžineriniai tinklai ir sistemos.
","
UAB ""Rekreacinė statyba"" suteikta teisė būti ypatingo statinio statybos rangovu. Statiniai: gyvenamieji ir negyvenamieji pastatai; susisiekimo komunikacijos: keliai (gatvės); inžineriniai tinklai: vandentiekio, nuotekų šalinimo; kitos paskirties inžineriniai statiniai; kultūros paveldo statiniai. Vykdome...
",https://rekvizitai.vz.lt/imone/rekreacine_statyba/
"Skalvos projektai
","
","Žuvėdrų g. 8, Vydmantų k., LT-97227 Kretingos r.","
Veiklos sritys: atliekų tvarkymas; apželdinimas ir aplinkos tvarkymas; griovimas, gręžimas; statybos technika, įranga, nuoma.
","
Atliekų konteinerių nuoma Nuomojame 10m3 ir 7m3 talpos statybinių atliekų konteinerius Pristatome konteinerius į Jums reikiamą vietą Klaipėdos regione (Klaipėda, Palanga, Šventoji, Kretinga, Gargždai, Šilutė, Plungė) Išvežame šias atliekas: Gelžbetonio, betono, plytų ar kito mūro griovimo atliekas Keramiką ir...
",https://rekvizitai.vz.lt/imone/skalvos_projektai/
"Sodo bitės
","
","V. Nagevičiaus g. 3, LT-08237 Vilnius.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; akmens gaminiai; gėlės ir dekoratyviniai augalai.
","
“Sodo Bitės“ - NUO idėjos IKI išskirtinės Jūsų kiemo aplinkos UAB “Sodo Bitės“ viena iš didžiausių sėkmingai dirbančių ir plečiančių savo veiklą apželdinimo paslaugų įmonių Lietuvoje, dirbanti Vilniuje, Kaune ir Klaipėdoje. Įmonė teikia aukštos kokybės paslaugas, nuolat tobulėja ir diegia inovacijas. Teikiame...
",https://rekvizitai.vz.lt/imone/sodo_bites/
"Sodo bitės medelynas
","
","Kryžinės g. 51, Brinkiškių k., LT-14225 Vilniaus r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; žemės ūkis, paslaugos.
","
Sodo Bitės medelynas siūlo dekoratyvinius medžius ir krūmus, vaismedžius, vaiskrūmius užaugintus tik Lietuvoje. Medelyne taip pat prekiaujame trąšomis, mulčiu, dekoratyvia skaldele, substratais, augalų priežiūros priemonėmis, medžio dirbiniais. Medelyną nuolat kontroliuoja Valstybinė augalininkystės tarnyba...
",https://rekvizitai.vz.lt/imone/sodo_bites_medelynas/
"Sodo standartas
","
","Vilniaus g. 14A, Kaniūkų k., LT-64104 Alytaus r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; melioracija, melioracijos technika; pastatų administravimas; švaros, valymo paslaugos.
","
UAB “Sodo standartas“ – sėkmingai savo veiklą aplinkos bei pastatų priežiūros srityje vykdanti įmonė. Mūsų jaunas kolektyvas orientuojasi į kokybišką paslaugų teikimą. Siūlome savo klientams visas vejos ir aplinkos, pastatų ir teritorijų priežiūros paslaugas. Platus paslaugų spektras leidžia kiekvienam klientui...
",https://rekvizitai.vz.lt/imone/sodo_standartas/
"Specparkas
","
STATYBINĖS TECHNIKOS NUOMA
","Jaunimo g. 3, Nemėžio k., LT-13263 Vilniaus r.","
Veiklos sritys: statybos technika, įranga, nuoma; apželdinimas ir aplinkos tvarkymas; griovimas, gręžimas; inžineriniai tinklai ir sistemos.
","
UAB ""Specparkas"" - patirtį turinti bendrovė, teikia statybinės technikos pervežimo, spec. technikos, biuro konteinerių ir laikinų aptvėrimų nuomos paslaugas, atlieka žemės kasimo ir griovimo darbus. VEIKLA: • Spec-technikos nuoma, • Biuro konteinerių nuoma, • Laikinų aptvėrimų nuoma, • Griovimo darbai, •...
",https://rekvizitai.vz.lt/imone/specparkas/
